major_name,major_code
Accounting,ACCT
"Center For Arabic Studies Abroad",AIAS
"Arabic Language Intensive",ALIN
"Arabic Language Intensive Summer",ALIS
"Arabic Language",ALNG
"Arabic Writing",ALWT
"American Studies",AMST
Anthropology,ANTH
"Applied Linguistics",APLN
"Architectural Engineering",ARCH
"Arab and Islamic Civilizations",ARIC
"Visual Arts",ARTV
"Business Administration",BADM
Biology,BIOL
Biotechnology,BIOT
"Business School",BUSC
"International Management",CEMS
"Construction Engineering",CENG
Chemistry,CHEM
"Core Curriculum",CORE
"Comparative Religion",CREL
"Computer Science and Engineering",CSCE
"Data Science",DSCI
"Graphic Design",DSGN
"English & Comparative Literature",ECLT
"Electronics and Communications Engineering",ECNG
Economics,ECON
Education,EDUC
Egyptology,EGPT
"Intensive English",ELIN
"Executive Business Administration",EMBA
English,ENGL
Engineering,ENGR
Entrepreneurship,ENTR
"Environmental Engineering",ENVE
Film,FILM
Finance,FINC
"Global Public Health",GHHE
"Sustainable Development",GREN
"Gender and Women’s Studies",GWST
History,HIST
"International Business",INTB
"Journalism & Mass Communication",JRMC
"Libraries and Learning Technologies",LALT
"International Human Rights Law",LAW
Linguistics,LING
"Mathematics and Actuarial Science",MACT
"Mechanical Engineering",MENG
"Middle East Studies",MEST
Management,MGMT
Marketing,MKTG
"Management of Information Systems",MOIS
"Migration & Refugee Studies",MRS
Music,MUSC
Nanotechnology,NANO
"Operations Management",OPMG
"Petroleum Engineering",PENG
"Ph.D. in Engineering",PHDE
"Ph.D. in Applied Sciences",PHDS
Philosophy,PHIL
Physics,PHYS
"Political Science",POLS
"Public Policy and Administration",PPAD
Psychology,PSYC
"Robotics, Control and Smart Systems",RCSS
"Rhetoric and Composition",RHET
Science,SCI
Seminar,SEMR
Sociology,SOC
"Teaching & Learning",TEAL
Theatre,THTR
"Translation Studies",TRST
"Television and Digital Journalism",TVDJ
