,code,name,cr,Prerequisites,description,cross_listes,when_offered,Notes
0,ACCT 201/2001,Financial Accounting,3 cr, N," The course introduces accounting as a discipline and the various uses of accounting information. It covers the accumulation, processing, and communication of accounting information. The measurement of assets, liabilities, equities and income are emphasized.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
1,ACCT 202/2002,Managerial Accounting,3 cr," ,ACCT 2001,", Introduction to management accounting in terms of modern cost accounting and budgetary systems. The course emphasizes management uses of accounting information in the planning and controlling of business operations in the manufacturing and services sectors, N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
2,ACCT 301/3001,Intermediate Accounting I,3 cr," ,ACCT 2001, ,"," An in-depth coverage of accounting valuation processes, accounting income measurement, and disclosure issues in financial reports.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
3,ACCT 302/3002,Intermediate Accounting II,3 cr," ,ACCT 3001,"," A continuation of Intermediate Accounting I (ACCT 3002), focusing on the liabilities and equity sections in various types of ownership.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
4,ACCT 303/3003,Advanced Accounting,3 cr," ,ACCT 3002,"," This course focuses on accounting aspects of equity investments, mergers and acquisitions, and intercompany transactions. Topics include the preparation and analysis of consolidated financial statements and other advanced accounting issues such as special purpose entities (SPEs) and foreign currency transactions and translations.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
5,ACCT 304/3004,Cost Accounting,3 cr," ,ACCT 2002, ,"," Analysis of management accounting reports for decision making purposes. Cost analysis techniques, budgeting and performance evaluation and cost data for quantitative models and control systems.", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
6,ACCT 305/3005,Auditing,3 cr," ,ACCT 3002,"," The course introduces the basics of assurance and attestation services and the role of auditing in enhancing the credibility of financial statements. Topics covered will include factors affecting the auditing profession, auditor’s characteristics, types of audit evidence, the audit process and the auditor’s report", N, Offered in fall and spring.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
7,ACCT 306/3006,Principles of Taxation,3 cr," , ACCT 302/3002 - Intermediate Accounting II (3 cr.), ,"," ,The main objective of this course is to present an in-depth analysis of how tax laws and regulations affect a business enterprise. The course introduces theoretical tax concepts that support the understanding of taxation in general and the Egyptian tax system in particular. Tax implications on both individuals and businesses are examined", N, N,N
8,ACCT 000/4000,Automated Financial Accounting,3 cr," ,MOIS 2101, , and ,ACCT 3002, ,"," This course focuses on the application of financial accounting in businesses using Enterprise Resource Planning (ERP) systems as a platform to manage the financial resources and controls of a business entity. It starts with the conceptual foundations of accounting information systems, internal controls and auditing with a focus on the computerization of core accounting cycles. The course requires students to utilize their knowledge in accounting to analyze and use ERP systems through a complete cycle of transaction processing and reporting. The course emphasizes the application of information technology in financial accounting", N, N,N
9,ACCT 401/4001,Contemporary Issues in Auditing and Forensic Accounting,3 cr," ,ACCT 3005, ,"," This course highlights the practical and governance aspects of the auditing function and its role in promoting financial transparency. Topics covered will include professional ethics, materiality and risk, fraud auditing, sampling techniques, auditing in IT environment, auditing some operational cycles and forensic accounting techniques.", N," Offered in fall and spring.,",N
10,ACCT 402/4002,Special Topics in Tax Accounting,3 cr," ,ACCT 3006, ,"," ,This course builds on its prerequisite Principles of Taxation (ACCT 3006). The course focuses on advanced topics such as the effects of taxation on investment, business planning and decision-making within an Egyptian corporate setting. International taxation concepts and applications are also introduced.", N," Offered in fall and spring.,",N
11,ACCT 000/4004,Financial Statement Analysis,3 cr," ,ACCT 3002, , and ,FINC 2101,"," This interdisciplinary course lies at the intersection between financial accounting and finance. Various financial statement analysis techniques will be covered with a focus on ratio analysis and the extended DuPont Analysis. The course will also cover financial statements ‘reformulation’ for the purpose of effective analysis and sound decision making. In this course, students will also be exposed to the effects of accounting discretion on the quality of financial statements. Furthermore, red flags of aggressive financial reporting and methods of earnings management will also be presented. Other topics pertaining to pro forma financial statements, forecasting, and evaluation are also discussed. Generally, the course takes a comparative accounting standards approach within the contexts of International Financial Reporting Standards (IFRSs), the Egyptian Accounting standards (EASs), US Generally Accepted Accounting Principles (US GAAP)."," ,FINC 4970, ,", N,N
12,ACCT 403/4005,Contemporary Issues in Financial Reporting,3 cr, Graduating Senior.," This is a capstone course that will engage students in analysis of a wide range of contemporary issues in financial accounting and reporting by expanding and integrating students’ knowledge of the Egyptian Accounting Standards and International Financial Reporting Standards (IFRS) in a rigorous study of the current and advanced financial reporting issues that relate to Assets, Liabilities, Equity, Income and Disclosures.", N," Offered in fall and spring.,",N
13,ACCT 470/4070,Special Topics in Accounting,3 cr, Prerequisite: Consent of Instructor., Considers selected topics of current relevance in Accounting., N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
14,ACCT 475/4075,Independent Study in Accounting,1-3 cr, Prerequisites: Senior standing and consent of ACCT unit head and chair.," Guided readings, research, and discussions on specific selected topic in Accounting.", N, Offered occasionally.," Enrollment in is limited, and priority is given to students seeking the Bachelor of Business Administration degree or the Bachelor of Accounting degree, students enrolling in specified as collateral requirements in other majors, and students who have declared business administration as a minor"
15,ACCT 501/5201,Financial Reporting and Analysis,3 cr, N," This is a basic course in financial accounting covering financial reporting by business entities. It develops the framework for the analysis, classification, reporting, and disclosure of business transactions. The preparation and interpretation of financial statements and reports, and ethical issues are emphasized", N," Offered in fall and spring.,",N
16,ACCT 000/5211,Accounting for Managers,1.5 cr," Co-requisite: ,ENTR 5211, ,"," This is a basic course in financial accounting covering financial reporting by business entities. It develops the framework for the analysis, classification, reporting, and disclosure of business transactions. The preparation and interpretation of financial statements and reports, and ethical issues are emphasized", N, N,N
17,ACCT 502/5301,Managerial Accounting for Decision Making,3 cr," ,BADM 5310, ,"," This course focuses on corporate decision-making skills for managers by concentrating on the concepts and practices of managerial accounting. The emphasis is on building a general framework for choosing among alternative cost systems for operational control and product cost and profitability measurement. The course covers recent conceptual and analytical developments in the area of management accounting, including study of modern and relevant planning, control techniques and their underlying concepts as applied to various functional areas within the firm, and performance evaluation", N," Offered in fall and spring,",N
18,ACCT 570/5370,Selected Topics in Accounting,3 cr," ,BADM 5310, ,", It considers offering contemporary topics of current relevance in Accounting, N," Offered occasionally.,",N
19,ACCT 575/5375,Independent Study in Accounting,1-3 cr, Consent of the Instructor and Director of the program.," Guided readings, research, and discussions on specific selected topic in Accounting", N," Offered occasionally.,American Studies,",N
20,AMST 199/1099,Selected Topics for Core Curriculum,3 cr, N," Course addressing broad intellectual concerns and accessible to all students, irrespective of major", N, N,N
21,AMST 299/2096,Selected Topics for Core Curriculum,3 cr," ,RHET 1000,"," Course addressing broad intellectual concerns and accessible to all students, irrespective of major", N, N,N
22,AMST 000/2190,Is America Still a Superpower?,3 cr, N," Is the U.S. still a superpower? This course examines the rise of the U.S. to become the sole superpower in less than 250 years. Students will study some of the most important documents in American history: The Declaration of Independence, the Constitution and the Bill of Rights. But also understand the US voting system, some of the main presidential doctrines that reflect the evolution of U.S. foreign policy. Students will also investigate how today’s economic system is of the U.S. making", N, N,N
23,AMST 310/3010,American Literature to 1900,3 cr, N, Selected readings of literary works beginning with pre-Columbian oral traditions and moving from the colonial era to the early national period through to the late nineteenth century, N, N,N
24,AMST 311/3011,Modern American Literature,3 cr, N, Works of twentieth-century American writers. The reading list may be chosen to reflect changing ethnic and cultural phenomena and will vary from year to year," Same as ,ECLT 3011, , .,", N,N
25,AMST 356/3016,American Philosophy,3 cr, N," The course examines philosophy in North America, focusing on the central themes of democracy and pragmatism. A guiding question of the course will be: How is the democratic process embedded in the philosophic enterprise? The views of major thinkers such as Peirce, James, Royce, Santayana, Dewey, Quine, and Hartshorne will be examined"," Same as ,PHIL 3016, , .,", N,N
26,AMST 301/3100,The US and the World Economy,3 cr, Sophomore Standing or Higher," The course will look at the relationship between the U.S. and the global monetary, financial and trading systems. From a historical perspective, the course will examine how the U.S. power has evolved in the post-World War Two as well as the emergence of the Bretton Woods institutions (IMF and World Bank) and the World Trading Organization (WTO). Current issues include but not restricted to the role and weight of the newly emerging industrialized countries. (BRICS: Brazil, Russia, India, China, and South Africa), the continued reliance on the U.S. dollar as the predominant reserve currency, and the impact of the growing American indebtedness on the world economy", N, N,N
27,AMST 400/4001,Selected Topics for Core Curriculum,3 cr, N, Examination of specific topics and themes related to the field of American Studies. May be repeated for credit if content changes, N, N,N
28,AMST 444/4444,Media Law and Policy,3 cr," ,JRMC 2203,"," An explanation of communication law and regulation with its major segments libel, privacy and news-gathering together with journalists’ rights and defenses against libel suits. Issues of national and international topics are covered together with media law cases."," Same as ,JRMC 4444, ,Anthropology,", N,N
29,ANTH 199/1099,Selected Topics for Core Curriculum,3 cr, N, Course addressing broad intellectual concerns and accessible to students as part of the Freshman Level of the Core Curriculum, N, N,N
30,ANTH 210/2005,Arab Society,3 cr," ,RHET 2010, , or concurrent."," Description and analysis of social and cultural characteristics and problems of contemporary Arab Society, taking into consideration the specific historical, economic, and ideological forces that shape it. The social basis for Arab unity and identity. Introduction to basic concepts and principles for understanding social phenomena."," Same as ,SOC 2005, ,."," Offered in fall and spring.,",N
31,ANTH 000/2006,Youth Cultures,3 cr, N," This course explores the conceptual and methodological approaches to the study of youth cultures over the last one hundred years in order to be able to interpret and understand youth cultures in the Arab world. The course covers literature on youth cultures , subcultures and countercultures in the 20th and 21st centuries, covering domains such as music, arts, ideas and politics of young people from a range of cultural settings. The course also examines generational conflict, social inequality and authoritarianism, a globalizing economy and mass media, and continuity and change in the way young people experience self, group and social structures", N, N,N
