major_code,course_number,semester
ACCT,2001,fall
ACCT,2001,spring
ACCT,2002,fall
ACCT,2002,spring
ACCT,3001,fall
ACCT,3001,spring
ACCT,3002,fall
ACCT,3002,spring
ACCT,3003,fall
ACCT,3003,spring
ACCT,3004,fall
ACCT,3004,spring
ACCT,3005,fall
ACCT,3005,spring
ACCT,4001,fall
ACCT,4001,spring
ACCT,4002,fall
ACCT,4002,spring
ACCT,4005,fall
ACCT,4005,spring
ACCT,5201,fall
ACCT,5201,spring
ACCT,5301,fall
ACCT,5301,spring
AIAS,4101,summer
AIAS,4301,summer
AIAS,5121,fall
AIAS,5151,fall
AIAS,5152,spring
AIAS,5201,spring
AIAS,5261,spring
AIAS,5271,spring
AIAS,5301,fall
AIAS,5601,spring
AIAS,5991,spring
ALIN,2251,fall
ALIN,2251,spring
ALIN,2411,fall
ALIN,2411,spring
ALIN,3251,spring
ALIN,3411,fall
ALIN,3411,spring
ALNG,4291,fall
ANTH,2005,fall
ANTH,2005,spring
ANTH,2101,fall
ANTH,2101,spring
ANTH,2201,fall
ANTH,3020,spring
ANTH,3045,spring
ANTH,3102,fall
ANTH,3104,spring
ANTH,3105,fall
ANTH,3105,spring
ANTH,3202,fall
ANTH,4025,fall
ANTH,4050,fall
ANTH,4050,spring
ANTH,4107,spring
ANTH,4203,spring
ANTH,4405,fall
ANTH,4405,spring
ANTH,4499,fall
ANTH,5200,fall
ANTH,5201,fall
ANTH,5203,spring
ANTH,5204,spring
ANTH,5290,spring
APLN,5101,fall
APLN,5103,fall
APLN,5103,spring
APLN,5201,fall
APLN,5202,fall
APLN,5202,spring
APLN,5271,fall
APLN,5271,spring
ARCH,1511,fall
ARCH,1511,spring
ARCH,1521,fall
ARCH,1521,spring
ARCH,2221,fall
ARCH,2221,spring
ARCH,2552,fall
ARCH,2552,spring
ARCH,3331,fall
ARCH,3331,spring
ARCH,3522,fall
ARCH,3522,spring
ARCH,3531,fall
ARCH,3531,spring
ARCH,3553,fall
ARCH,3553,spring
ARCH,3554,fall
ARCH,3554,spring
ARCH,3950,fall
ARCH,3950,spring
ARCH,4312,fall
ARCH,4312,spring
ARCH,4532,fall
ARCH,4532,spring
ARCH,4541,fall
ARCH,4541,spring
ARCH,4555,fall
ARCH,4555,spring
ARCH,4920,fall
ARCH,4920,spring
ARCH,4930,fall
ARCH,4930,spring
ARCH,4951,fall
ARCH,4951,spring
ARCH,4980,fall
ARCH,4980,spring
ARCH,4981,fall
ARCH,4981,spring
ARIC,2101,fall
ARIC,2101,spring
ARIC,2102,fall
ARIC,2102,spring
ARIC,2103,fall
ARIC,2103,spring
ARIC,2104,fall
ARIC,2104,spring
ARIC,2205,fall
ARIC,2205,spring
ARIC,2206,fall
ARIC,2206,spring
ARIC,2346,fall
ARIC,2346,spring
ARIC,3104,fall
ARIC,3104,spring
ARIC,3106,fall
ARIC,3106,spring
ARIC,3108,fall
ARIC,3108,spring
ARIC,3114,fall
ARIC,3114,spring
ARIC,3115,fall
ARIC,3115,spring
ARIC,3116,fall
ARIC,3116,spring
ARIC,3197,fall
ARIC,3197,spring
ARIC,3325,fall
ARIC,3343,fall
ARIC,3345,fall
ARIC,3356,fall
ARIC,3356,spring
ARIC,3435,spring
ARIC,5101,spring
ARIC,5111,fall
ARIC,5111,spring
ARIC,5132,fall
ARIC,5133,fall
ARIC,5135,fall
ARIC,5135,spring
ARIC,5141,fall
ARIC,5142,fall
ARIC,5142,spring
ARIC,5202,fall
ARIC,5202,spring
ARIC,5213,fall
ARIC,5213,spring
ARIC,5215,fall
ARIC,5215,spring
ARIC,5222,fall
ARIC,5222,spring
ARIC,5231,fall
ARIC,5232,spring
ARIC,5233,fall
ARIC,5233,spring
ARIC,5244,spring
ARTV,2200,fall
ARTV,2200,spring
ARTV,3270,fall
ARTV,3270,spring
ARTV,4270,spring
BADM,3002,fall
BADM,3002,spring
BADM,3003,fall
BADM,3003,spring
BADM,4001,fall
BADM,4001,spring
BIOL,1040,fall
BIOL,3910,fall
BIOL,3910,spring
BIOL,4980,fall
BIOL,4981,spring
BIOT,6206,fall
BIOT,6207,fall
CENG,2251,fall
CENG,2251,spring
CENG,2311,fall
CENG,2311,spring
CENG,3011,fall
CENG,3011,spring
CENG,3111,fall
CENG,3111,spring
CENG,3112,fall
CENG,3112,spring
CENG,3151,fall
CENG,3151,spring
CENG,3152,fall
CENG,3152,spring
CENG,3153,fall
CENG,3153,spring
CENG,3211,fall
CENG,3211,spring
CENG,3312,fall
CENG,3312,spring
CENG,3511,fall
CENG,3511,spring
CENG,4252,fall
CENG,4252,spring
CENG,4253,fall
CENG,4253,spring
CENG,4313,fall
CENG,4313,spring
CENG,4314,fall
CENG,4314,spring
CENG,4351,fall
CENG,4351,spring
CENG,4410,fall
CENG,4410,spring
CENG,4420,fall
CENG,4420,spring
CENG,4430,fall
CENG,4430,spring
CENG,4440,fall
CENG,4440,spring
CENG,4460,fall
CENG,4460,spring
CENG,4551,fall
CENG,4551,spring
CENG,4554,fall
CENG,4554,spring
CENG,4911,fall
CENG,4911,spring
CENG,4921,fall
CENG,4921,spring
CENG,4951,fall
CENG,4980,fall
CENG,4980,spring
CENG,4981,fall
CENG,4981,spring
CENG,5264,fall
CENG,5264,spring
CENG,5265,fall
CENG,5265,spring
CENG,5266,fall
CENG,5266,spring
CHEM,1004,fall
CHEM,1004,spring
CHEM,1004,summer
CHEM,1005,fall
CHEM,1005,spring
CHEM,1005,summer
CHEM,1005,winter
CHEM,1006,fall
CHEM,1006,spring
CHEM,1015,fall
CHEM,1015,spring
CHEM,1015,summer
CHEM,1015,winter
CHEM,1016,fall
CHEM,1016,spring
CHEM,2003,fall
CHEM,2006,spring
CHEM,2007,fall
CHEM,3003,fall
CHEM,3004,spring
CHEM,3006,spring
CHEM,3009,fall
CHEM,3010,fall
CHEM,3011,fall
CHEM,3013,fall
CHEM,3014,spring
CHEM,3015,fall
CHEM,3016,spring
CHEM,3018,fall
CHEM,3025,spring
CHEM,3522,fall
CHEM,3910,fall
CHEM,3910,spring
CHEM,4003,fall
CHEM,4004,spring
CHEM,4006,spring
CHEM,4007,fall
CHEM,4008,spring
CHEM,4013,fall
CHEM,4016,fall
CHEM,4025,fall
CHEM,4980,fall
CHEM,4980,spring
CHEM,6103,fall
CHEM,6103,spring
CSCE,1000,fall
CSCE,1000,spring
CSCE,1001,fall
CSCE,1001,spring
CSCE,2202,fall
CSCE,2202,spring
CSCE,2301,fall
CSCE,2301,spring
CSCE,2302,fall
CSCE,2302,spring
CSCE,2303,fall
CSCE,2303,spring
CSCE,3104,fall
CSCE,3104,spring
CSCE,3301,fall
CSCE,3301,spring
CSCE,3302,fall
CSCE,3302,spring
CSCE,3303,fall
CSCE,3303,spring
CSCE,3304,fall
CSCE,3304,spring
CSCE,3311,fall
CSCE,3311,spring
CSCE,3312,fall
CSCE,3312,spring
CSCE,3401,fall
CSCE,3401,spring
CSCE,3402,fall
CSCE,3402,spring
CSCE,3421,fall
CSCE,3601,fall
CSCE,3611,fall
CSCE,3611,spring
CSCE,3701,fall
CSCE,3701,spring
CSCE,4101,spring
CSCE,4201,fall
CSCE,4301,fall
CSCE,4301,spring
CSCE,4302,fall
CSCE,4302,spring
CSCE,4313,spring
CSCE,4314,spring
CSCE,4411,fall
CSCE,4503,fall
CSCE,4503,spring
CSCE,4702,fall
CSCE,4702,spring
CSCE,4910,fall
CSCE,4910,spring
CSCE,4930,fall
CSCE,4930,spring
CSCE,4980,fall
CSCE,4980,spring
CSCE,4981,fall
CSCE,4981,spring
DSGN,2200,fall
DSGN,2200,spring
DSGN,3213,fall
DSGN,3213,spring
DSGN,3250,fall
DSGN,3250,spring
ECLT,5199,fall
ECLT,5199,spring
ECNG,2101,fall
